,,,,,,
,,,,,,
,4.1.2 Parámetros fisicoquimicos del extrcto ,,,,,
,,,,,,
,,,,,,
,Parámetro,R1,R2,R3,Promedio,Desviación estandar
,pH,3.86,4.08,4.14,4.026666667,0.1474222959
,Densidad (p),0.98,1.0076,0.99,0.9925333333,0.01397330789
,Conductividad eléctrica,1820,1964,1966,1916.666667,83.72176141
,Sólidos Disueltos Totales (SDT),1600,1315,1317,1410.666667,163.9705258
